Sample_text,Category,Final Label,Female_biased,Not Female_biased
?? ????? ???? ????? ???? ??? ???????? ???? ???? ??????,Gender,Sexual Harassments,Offensive,Offensive
?? ??? ?????? ???? ???? ??...,Gender,Offensive,Offensive,Offensive
??? ???? ??? ?? ??? ??? ??? ???? ???? ???? ?,Gender,Offensive,Violence,Offensive
???? ???? ? ??? ???? ???? ???? ???? ????,Gender,Offensive,Violence,Violence
???? ??? ?? ???? ???,Gender,Offensive,Offensive,Offensive
?? ????? ????? ??????? ???? ?? ????? ??? ????,Gender,Offensive,Offensive,Offensive
????? ??? ??????? ???? ???? ???? ??? ?????,Gender,Offensive,Offensive,Offensive
???????? ???? ???? ??,Gender,Violence,Violence,Violence
???? ?? ?? ??????? ???? ??? ??? ??? ??? ????? ????? ??????,Gender,Offensive,Offensive,Offensive
??? ???? ?? ??????? ????? ???? ???? ???? ???? ????,Gender,Offensive,Violence,Violence
???? ????? ???? ???? ???? ??? ?????? ????? ???? ???,Gender,Violence,Not Hateful,Offensive
???? ?? ????? ???? ????? ???? ????,Gender,Sexual Harassments,Not Hateful,Offensive
?????? ?? ????? ??? ??? ????? ???,Gender,Offensive,Offensive,Offensive
?????? ??????? ????? ???? ??????????? ???? ?? ????? ???? ????? ????? ???? ???? ?????? ??? ???? ????? ????? ??? ?????? ???? ????? ?????? ???? ?? ???,Gender,Offensive,Offensive,Offensive
??????? ???? ??????? ???,Gender,Offensive,Offensive,Offensive
??????? ???? ???? ???? ?? ???? ??? ??????????? ??? ??? ????????,Gender,Offensive,Violence,Violence
??????? ??? ?????? ?? ???????? ??? ?????? ??? ?? ???? ?????? ???? ???,Gender,Offensive,Offensive,Offensive
???????? ?? ????? ????? ???? ?????? ???; ??? ????? ??????? ??,Gender,Offensive,Harmful,Harmful
"??????? ?????? ???? ??? ???? ???? ????, ?????? ???? ???? ???? ????? ???",Gender,Offensive,Offensive,Offensive
??? ????? ?? ???????  ?????? ???? ??? ??????,Gender,Offensive,Offensive,Offensive
"????? ???? ??, ?????? ???????? ????? ??? ???? ???",Gender,Offensive,Not Hateful,Offensive
?? ?? ?????? ???? ???? ?????? ?????,Gender,Sexual Harassments,Offensive,Violence
?? ?? ?????? ???? ???? ?????,Gender,Offensive,Violence,Violence
?? ??? ?????? ??? ??? ?? ?? ???? ????? ??? ??? ??? ???,Gender,Offensive,Violence,Violence
?? ???? ???? ?? ???? ???? ???,Gender,Offensive,Violence,Violence
????? ????? ???? ???? ????,Gender,Offensive,Violence,Violence
??? ???? ???? ???? ?????? ???? ?? ???? ??? ???? ???? ??? ???? ?? ???? ???? ???,Gender,Offensive,Offensive,Offensive
