Sample_text,Category,Final Label,Reasoning,Female_biased,Not Female_biased,Artist_biased Label,Not Artist_biased Label,Sportsman_biased Label,Not Sports_biased Label,Vlogger_biased Label,Not Vlogger_biased Label,Muslim_biased Label,Hindu_biased Label,Not Muslim and Hindu,Diplomacy_biased Label,Not Diplomacy_biased Label,Security_Analyst_biased Label,Not Security_Analyst_biased Label,Journalist_biased Label,Not Journalist_biased Label,Plitical Personality_biased Label,NonPlitical Personality_biased Label,International Relation Analyst_biased Label,Not International Relation Analyst_biased Label
১৮ কোটির চোদা খাওয়া শেষে এখন ১৫০কোটির চোদা খাবে মিথিলা,Gender,Sexual Harassments,"এখানে অবমাননাকর ভাষা সরাসরি নারীর প্রতি ব্যবহার করা হয়েছে।
এই মন্তব্যে নারীর প্রতি যৌন ইঙ্গিতপূর্ণ বিদ্বেষ প্রকাশ পেয়েছে।
লিঙ্গভিত্তিক অসম্মান ও অপমানমূলক বাক্য ব্যবহারের কারণে এটি যৌন হয়রানি।","['Sexual Harassments', 'Offensive', 'Harmful']","['Offensive', 'Harmful']",Offensive,Harmful,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive
২য় মীর জাফরের মুখে মুতে দে...,Gender,Offensive,"মন্তব্যটি অপমানসূচক এবং সরাসরি ব্যক্তি চরিত্রে আঘাত হেনেছে।
এখানে অশালীন ভাষার মাধ্যমে হেয় প্রতিপন্ন করার প্রচেষ্টা রয়েছে।
ব্যক্তিগত অবমাননা ও আক্রমণাত্মক শব্দ ব্যবহারের কারণে এটি আপত্তিকর।","['Offensive', 'Harmful']",['Offensive'],Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Harmful,Offensive,Offensive,Offensive,Offensive,Offensive,Harmful,Offensive,Offensive,Offensive,Offensive
অপু উকিল তুই তো ভোট চোর তোর মুখে লাথি মারী ।,Gender,Offensive,"মন্তব্যটি আক্রমণাত্মক এবং শারীরিক হিংসার ইঙ্গিত দেয়।
এখানে লিঙ্গ নির্দিষ্ট অপমানমূলক শব্দ ব্যবহার করা হয়েছে।
ব্যক্তিগত আক্রমণ এবং হুমকির কারণে এটি অপমানজনক বিবেচিত হয়েছে।",['Offensive'],['Offensive'],Violence,Violence,Harmful,Violence,Offensive,Offensive,Violence,Offensive,Offensive,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence
অমিত শাহ্ র দুই গালে জোতা মারো তালে তালে,Gender,Offensive,"মন্তব্যে শারীরিক হিংসার স্পষ্ট ইঙ্গিত দেওয়া হয়েছে।
ব্যক্তির প্রতি অবমাননাকর এবং হিংসাত্মক শব্দ ব্যবহার করা হয়েছে।
অশোভন ও লাঞ্ছনামূলক বক্তব্য হওয়ায় এটি আপত্তিকর বিবেচিত।",['Violence'],['Violence'],Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence
অমিত সাহ কে বাঁশ দেও,Gender,Offensive,"মন্তব্যটি স্পষ্টভাবে অবমাননাকর এবং অশালীন ভাষা ব্যবহার করেছে।
ব্যক্তির প্রতি অসম্মান প্রকাশ করায় এটি অপমানজনক।
অশোভন ও আক্রমণাত্মক বক্তব্য হওয়ায় এটি আপত্তিকর।",['Offensive'],"['Offensive', 'Violence', 'Propaganda']",Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive
অর বুদার মধ্যে কারেন্ট দিলে সব এমনিই বলে দিবে,Gender,Offensive,"মন্তব্যে শারীরিক নির্যাতনের ইঙ্গিত দেওয়া হয়েছে, যা অশোভন।
ব্যক্তির প্রতি অবমাননাকর এবং আক্রমণাত্মক বক্তব্য ব্যবহৃত হয়েছে।
অপমানজনক ও হুমকির সুরে হওয়ায় এটি আপত্তিকর বিবেচিত।",['Sexual Harassments'],['Sexual Harassments'],Offensive,Harmful,Harmful,Harmful,Offensive,Harmful,Harmful,Harmful,Offensive,Harmful,Harmful,Harmful,Offensive,Harmful,Offensive,Harmful,Harmful,Harmful,Offensive
অসভ্য মদি সরকারকে কঠিন ভাবে সাইজ করা দরকার,Gender,Offensive,"মন্তব্যে অবমাননাকর শব্দ ব্যবহার করে সরকারকে হেয় করা হয়েছে।
সরকারের প্রতি আক্রমণাত্মক ও অসম্মানজনক ভাষা ব্যবহৃত হয়েছে।
কঠোর হুমকির মাধ্যমে নেতিবাচক মনোভাব প্রকাশ করায় এটি আপত্তিকর।",['Offensive'],['Offensive'],Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive,Offensive
আববাসিরে জুতা পিটা কর,Gender,Violence,"মন্তব্যে সরাসরি শারীরিক হিংসার আহ্বান জানানো হয়েছে।
আক্রমণাত্মক ভাষা ব্যবহার করে সহিংস আচরণ উৎসাহিত করা হয়েছে।
অন্যের প্রতি শারীরিক আঘাতের ইঙ্গিত থাকায় এটি সহিংসতা হিসাবে বিবেচিত।","['Offensive', 'Violence', 'Harmful']",['Violence'],Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence
আবার কত বড় সাহস্যা আবার বলে তুই বলে ওরে পিটাও মাগীর পোলারে,Gender,Offensive,"মন্তব্যে অপমানজনক ভাষা এবং শারীরিক আঘাতের প্ররোচনা দেওয়া হয়েছে।
নারীর প্রতি অবমাননাকর এবং লিঙ্গ বৈষম্যমূলক শব্দ ব্যবহৃত হয়েছে।
অশালীন ভাষা ও সহিংসতার ইঙ্গিত থাকায় এটি আপত্তিকর।",['Sexual Harassments'],['Sexual Harassments'],Offensive,Offensive,Harmful,Offensive,Offensive,Harmful,Offensive,Offensive,Offensive,Offensive,Violence,Offensive,Harmful,Offensive,Harmful,Offensive,Harmful,Harmful,Offensive
আমন ছেলে কে রাস্তার মোড়ে বেধে জুতো দিয়ে মারা উচিত,Gender,Offensive,"মন্তব্যে শারীরিক হিংসার স্পষ্ট আহ্বান জানানো হয়েছে।
অপমানজনক এবং ব্যক্তিগতভাবে আক্রমণাত্মক বক্তব্য প্রকাশ করা হয়েছে।
হিংসাত্মক ও অসম্মানজনক ইঙ্গিত থাকায় এটি আপত্তিকর।",['Violence'],['Violence'],Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence,Violence
