Sample_text,Category,Final Label,Female_biased,Not Female_biased
১৮ কোটির চোদা খাওয়া শেষে এখন ১৫০কোটির চোদা খাবে মিথিলা,Gender,Sexual Harassments, 'Offensive', 'Offensive'
২য় মীর জাফরের মুখে মুতে দে...,Gender,Offensive, 'Offensive', 'Offensive'
অপু উকিল তুই তো ভোট চোর তোর মুখে লাথি মারী ।,Gender,Offensive, 'Violence', 'Violence'
অমিত শাহ্ র দুই গালে জোতা মারো তালে তালে,Gender,Offensive, 'Violence', 'Violence'
অমিত সাহ কে বাঁশ দেও,Gender,Offensive, 'Violence', 'Violence'
অর বুদার মধ্যে কারেন্ট দিলে সব এমনিই বলে দিবে,Gender,Offensive, 'Offensive', 'Offensive'
অসভ্য মদি সরকারকে কঠিন ভাবে সাইজ করা দরকার,Gender,Offensive, 'Offensive', 'Offensive'
আববাসিরে জুতা পিটা কর,Gender,Violence, 'Offensive', 'Offensive'
আবার কত বড় সাহস্যা আবার বলে তুই বলে ওরে পিটাও মাগীর পোলারে,Gender,Offensive, 'Offensive', 'Offensive'
আমন ছেলে কে রাস্তার মোড়ে বেধে জুতো দিয়ে মারা উচিত,Gender,Offensive, 'Violence', 'Violence'
আমরা সাকিব ভাইর পাশে আছি৷ এবং পাপনকে জুতার বারি দেও,Gender,Violence, 'Offensive', 'Offensive'
আমার বৌ আমাকে দিনে একবার চোদা দেয়,Gender,Sexual Harassments, 'Offensive', 'Offensive'
আল্লাহ এই ছেলের উপর গজব নাজিল করে,Gender,Offensive, 'Violence', 'Violence'
আল্লাহ ভিডিওটা দেখার সাহস পাইনিআল্লাহ তুমি এই ছেলের উচিত বিচার করোএক গজবে তুমি দেখিয়ে দাও পিতা মাতার প্রতি কোন কাফরের যেনো খারাপ আচরনের সাহস না পায়,Gender,Offensive, 'Offensive', 'Offensive'
আল্লাহর লানত মিতিলার উপর,Gender,Offensive, 'Harmful', 'Harmful'
ইন্ডিয়া থেকে বলছি পাপন কে গুলি করে মারুন।শাকিব খুব ভাল প্লেয়ার।,Gender,Offensive, 'Violence', 'Violence'
মেয়েরা কেন সবসময় এই ব্যাপারে নাক গলায়? ওরা সব সময় সমস্যা তৈরি করে,Gender,Offensive, 'Offensive', 'Offensive'
মেয়েদের এই সমাজে থাকার কোনো অধিকার নেই; ওরা এখানে মানানসই না,Gender,Offensive, 'Offensive', 'Offensive'
"মেয়েরা সবসময় ভাবে ওরা সবার থেকে ভালো, কিন্তু আসলে ওদের কোনো অবদান নেই",Gender,Offensive, 'Offensive', 'Offensive'
এটা সত্যি যে মেয়েরা  সবকিছু নষ্ট করে দিচ্ছে,Gender,Offensive, 'Harmful', 'Offensive'
"সত্যি বলতে কি, আমাদের মেয়েদের ছাড়া আরও ভালো হতো",Gender,Offensive, 'Harmful', 'Offensive'
ওর মত ছেলেকে কুওা দিয়া চোদানো দরকার,Gender,Sexual Harassments, 'Harmful', 'Offensive'
ওর মত পুলারে মেরে ফেলা দরকার,Gender,Offensive, 'Offensive', 'Violence'
