Sample_text,Category,Final Label,Female_biased,Not Female_biased
১৮ কোটির চোদা খাওয়া শেষে এখন ১৫০কোটির চোদা খাবে মিথিলা,Gender,Hateful,Sexual Harassments,Sexual Harassments
২য় মীর জাফরের মুখে মুতে দে...,Gender,Hateful,Offensive,Offensive
অপু উকিল তুই তো ভোট চোর তোর মুখে লাথি মারী ।,Gender,Hateful,Violence,Violence
অমিত শাহ্ র দুই গালে জোতা মারো তালে তালে,Gender,Hateful,Violence,Violence
অমিত সাহ কে বাঁশ দেও,Gender,Hateful,Offensive,Offensive
অর বুদার মধ্যে কারেন্ট দিলে সব এমনিই বলে দিবে,Gender,Hateful,Offensive,Offensive
অসভ্য মদি সরকারকে কঠিন ভাবে সাইজ করা দরকার,Gender,Hateful,Violence,Offensive
আববাসিরে জুতা পিটা কর,Gender,Hateful,Violence,Violence
আবার কত বড় সাহস্যা আবার বলে তুই বলে ওরে পিটাও মাগীর পোলারে,Gender,Hateful,Violence,Violence
আমন ছেলে কে রাস্তার মোড়ে বেধে জুতো দিয়ে মারা উচিত,Gender,Hateful,Violence,Violence
আমরা সাকিব ভাইর পাশে আছি৷ এবং পাপনকে জুতার বারি দেও,Gender,Hateful,Offensive,Violence
আমার বৌ আমাকে দিনে একবার চোদা দেয়,Gender,Hateful,Sexual Harassments,Sexual Harassments
আল্লাহ এই ছেলের উপর গজব নাজিল করে,Gender,Hateful,Violence,Violence
আল্লাহ ভিডিওটা দেখার সাহস পাইনিআল্লাহ তুমি এই ছেলের উচিত বিচার করোএক গজবে তুমি দেখিয়ে দাও পিতা মাতার প্রতি কোন কাফরের যেনো খারাপ আচরনের সাহস না পায়,Gender,Hateful,Violence,Violence
আল্লাহর লানত মিতিলার উপর,Gender,Hateful,Harmful,Harmful
ইন্ডিয়া থেকে বলছি পাপন কে গুলি করে মারুন।শাকিব খুব ভাল প্লেয়ার।,Gender,Hateful,Violence,Violence
মেয়েরা কেন সবসময় এই ব্যাপারে নাক গলায়? ওরা সব সময় সমস্যা তৈরি করে,Gender,Hateful,Offensive,Offensive
মেয়েদের এই সমাজে থাকার কোনো অধিকার নেই; ওরা এখানে মানানসই না,Gender,Hateful,Harmful,Harmful
"মেয়েরা সবসময় ভাবে ওরা সবার থেকে ভালো, কিন্তু আসলে ওদের কোনো অবদান নেই",Gender,Hateful,Offensive,Harmful
